"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"09/25/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","7","."
"09/26/2025","22","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","22","17","."
"09/27/2025","43","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","43","34","."
"09/28/2025","31","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","22","."
"09/29/2025","44","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","44","36","."
"09/30/2025","45","Ozone","Hoxeyville","26-165-9991","AirNow","45","23","."
"10/01/2025","32","Ozone","Hoxeyville","26-165-9991","AirNow","32","20","."
"10/02/2025","36","Ozone","Hoxeyville","26-165-9991","AirNow","36","8","."
"10/03/2025","64","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","64","37","."
"10/04/2025","64","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","64","53","."
"10/05/2025","50","Ozone","Hoxeyville","26-165-9991","AirNow","50","41","."
"10/06/2025","35","Ozone","Hoxeyville","26-165-9991","AirNow","35","23","."
"10/07/2025","29","Ozone","Hoxeyville","26-165-9991","AirNow","29","7","."
"10/08/2025","27","Ozone","Hoxeyville","26-165-9991","AirNow","27","3","."
"10/09/2025","30","Ozone","Hoxeyville","26-165-9991","AirNow","30","10","."
"10/10/2025","31","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","15","."
"10/11/2025","29","Ozone","Hoxeyville","26-165-9991","AirNow","29","6","."
"10/12/2025","32","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","32","22","."
"10/13/2025","35","Ozone","Hoxeyville","26-165-9991","AirNow","35","20","."
"10/14/2025","26","Ozone","Hoxeyville","26-165-9991","AirNow","26","13","."
"10/15/2025","26","Ozone","Hoxeyville","26-165-9991","AirNow","26","13","."
"10/16/2025","32","Ozone","Hoxeyville","26-165-9991","AirNow","32","6","."
"10/17/2025","37","Ozone","Hoxeyville","26-165-9991","AirNow","37","15","."
"10/18/2025","33","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","30","33","."
"10/19/2025","29","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","29","18","."
"10/20/2025","32","Ozone","Hoxeyville","26-165-9991","AirNow","32","7","."
"10/21/2025","24","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","24","13","."
"10/22/2025","19","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","19","6","."
"10/23/2025","18","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","18","12","."
"10/24/2025","21","Ozone","Hoxeyville","26-165-9991","AirNow","21","6","."
"10/25/2025","26","Ozone","Hoxeyville","26-165-9991","AirNow","26","5","."
"10/26/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","14","."
"10/27/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","15","."
"10/28/2025","33","Ozone","Hoxeyville","26-165-9991","AirNow","33","17","."
"10/29/2025","27","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","27","17","."
"10/30/2025","32","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","32","10","."
"10/31/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","14","."
"11/01/2025","23","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","23","11","."
"11/02/2025","27","Ozone","Hoxeyville","26-165-9991","AirNow","27","17","."
"11/03/2025","33","Ozone","Hoxeyville","26-165-9991","AirNow","33","12","."
"11/04/2025","30","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","30","8","."
"11/05/2025","33","Ozone","Hoxeyville","26-165-9991","AirNow","33","18","."
"11/06/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","9","."
"11/07/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","24","."
"11/08/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","11","."
"11/09/2025","27","Ozone","Hoxeyville","26-165-9991","AirNow","27","14","."
"11/10/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","8","."
"11/11/2025","25","Ozone","Hoxeyville","26-165-9991","AirNow","25","17","."
"11/12/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","17","."
"11/13/2025","33","Ozone","Hoxeyville","26-165-9991","AirNow","33","4","."
"11/14/2025","32","Ozone","Hoxeyville","26-165-9991","AirNow","32","24","."
"11/15/2025","52","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","30","52","."
"11/16/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","5","."
"11/17/2025","34","Ozone","Hoxeyville","26-165-9991","AirNow","34","2","."
"11/18/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","6","."
"11/19/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","12","."
"11/20/2025","30","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","17","30","."
"11/21/2025","26","Ozone","Hoxeyville","26-165-9991","AirNow","26","7","."
"11/22/2025","30","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","30","7","."
"11/23/2025","28","Ozone","Hoxeyville","26-165-9991","AirNow","28","18","."
"11/24/2025","31","Ozone","Hoxeyville","26-165-9991","AirNow","31","7","."
"11/25/2025","49","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","16","49","."
"11/26/2025","29","Ozone","Hoxeyville","26-165-9991","AirNow","29","7","."
"11/27/2025","35","Ozone","Hoxeyville","26-165-9991","AirNow","35","3","."
"11/28/2025","36","Ozone","Hoxeyville","26-165-9991","AirNow","36","3","."
"11/29/2025","29","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","29","8","."
"11/30/2025","34","Ozone","Hoxeyville","26-165-9991","AirNow","34","12","."
"12/01/2025","32","Ozone","Hoxeyville","26-165-9991","AirNow","32","6","."
"12/02/2025","32","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","32","22","."
"12/03/2025","47","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","34","47","."
"12/04/2025","34","Ozone","Hoxeyville","26-165-9991","AirNow","34","7","."
"12/05/2025","37","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","31","37","."
"12/06/2025","29","Ozone","Hoxeyville","26-165-9991","AirNow","29","26","."
