"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"12/05/2023","43","PM2.5","Fort Lee Near Road","34-003-0010","AQS","5","30",".","43","34"
"12/06/2023","41","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","29",".","41","32"
"12/07/2023","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","30",".","56","36"
"12/08/2023","71","PM2.5","Fort Lee Near Road","34-003-0010","AQS","19","22","20","71","50"
"12/09/2023","80","PM2.5","PS 274","36-047-0118","AQS","17","31",".","80","55"
"12/10/2023","73","PM2.5","Paterson","34-031-0005","AQS","11","39",".","73","45"
"12/11/2023","32","PM2.5","Intermediate School 143","36-061-0115","AQS","6","31",".","32","21"
"12/12/2023","50","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","29",".","50","40"
"12/13/2023","53","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","7","33",".","53","35"
"12/14/2023","50","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","34","14","50","35"
"12/15/2023","63","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","36",".","63","46"
"12/16/2023","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","31",".","60","42"
"12/17/2023","57","PM2.5","PS 274","36-047-0118","AQS","8","38",".","57","35"
"12/18/2023","39","Ozone","Flax Pond","36-103-0044","AQS","9","39",".","37","37"
"12/19/2023","42","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","10","31",".","42","26"
"12/20/2023","68","PM2.5","PS 19","36-061-0128","AQS","5","31","7","68","39"
"12/21/2023","51","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","31",".","51","31"
"12/22/2023","54","PM2.5","Rahway","34-039-2003","AQS","13","28",".","54","53"
"12/23/2023","73","PM2.5","Fort Lee Near Road","34-003-0010","AQS","17","28",".","73","58"
"12/24/2023","81","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","20",".","81","39"
"12/25/2023","85","PM2.5","PS 274","36-047-0118","AQS","14","31",".","85","37"
"12/26/2023","91","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","29","26","91","42"
"12/27/2023","74","PM2.5","Fort Lee Near Road","34-003-0010","AQS","11","27",".","74","42"
"12/28/2023","42","NO2","Elizabeth Lab","34-039-0004","AQS","7","28",".","33","42"
"12/29/2023","57","PM2.5","PS 19","36-061-0128","AQS","7","20",".","57","31"
"12/30/2023","52","PM2.5","Intermediate School 143","36-061-0115","AQS","5","28",".","52","20"
"12/31/2023","54","PM2.5","Intermediate School 143","36-061-0115","AQS","5","31",".","54","25"
